id,cardId
1,pl1-1
2,det1-1
3,mcd19-1
4,dv1-1
5,xy5-1
6,ex7-1
7,ecard2-H1
8,ex3-1
9,hgss4-1
10,ex12-1
11,base4-1
12,pl3-1
13,ru1-1
14,hgss1-1
15,dp3-1
16,ex11-1
17,gym1-1
18,base3-1
19,sm9-1
20,xy2-1
21,pop6-1
22,hgss4-2
23,ecard2-H2
24,xy2-2
25,pl1-2
26,base4-2
27,dp3-2
28,base3-2
29,pl3-2
30,pop6-2
31,ex3-2
32,ex11-2
33,gym1-2
34,sm9-2
35,mcd19-2
36,ru1-2
37,hgss1-2
38,xy5-2
39,ex7-2
40,det1-2
41,ex12-2
42,xy11-1
43,sm12-1
44,ex14-1
45,swsh35-1
46,bw10-1
47,dp1-1
48,sm115-1
49,ex9-1
50,pop7-1
51,gym2-1
52,xy7-1
53,bw1-1
54,ex13-1
55,sm3-1
56,sm1-1
57,col1-1
58,si1-1
59,dv1-2
60,ru1-3
61,bw10-2
62,ex7-3
63,pl3-3
64,hgss1-3
65,ecard2-H3
66,xy2-3
67,ex13-2
68,xy5-3
69,pop6-3
70,base3-3
71,base4-3
72,ex12-3
73,si1-2
74,hgss4-3
75,ex9-2
76,swsh35-2
77,xy11-2
78,ex11-3
79,gym2-2
80,bw1-2
81,xy7-2
82,sm12-2
83,col1-2
84,mcd19-3
85,sm9-3
86,det1-3
87,pop7-2
88,dv1-3
89,ex3-3
90,pl1-3
91,sm1-2
92,sm115-2
93,gym1-3
94,dp3-3
95,sm2-1
96,dp4-1
97,xy4-1
98,bw7-1
99,bw11-1
100,base1-1
101,base5-1
102,pop5-1
103,bw5-1
104,pop3-1
105,ex4-1
106,bw4-1
107,bw9-1
108,ex8-1
109,sm5-1
110,xy10-1
111,pop1-1
112,hgss2-1
113,dpp-DP01
114,swsh1-1
115,base6-1
116,swsh4-1
117,pop4-1
118,bw8-1
119,basep-1
120,pop9-1
121,neo4-1
122,sm8-1
123,xy1-1
124,pl4-1
125,neo3-1
126,base4-4
127,bw11-2
128,dp3-4
129,pop4-2
130,mcd19-4
131,xy2-4
132,base6-2
133,pl1-4
134,dp4-2
135,dp1-2
136,bw8-2
137,bw7-2
138,pop3-2
139,pop5-2
140,pop7-3
141,swsh35-3
142,xy4-2
143,ex8-2
144,bw5-2
145,base5-2
146,ex11-4
